pred_id,sub_name,obj_name,predicate,label,sentence
72329277,immortalized cell,Breast Cancer Cell,INTERACTS_WITH,1,"The normal mitochondria from 【immortalized, untransformed MCF-12A cells】 increased the sensitivity of 【human breast cancer MCF-7 cells】 to doxorubicin, Abraxane, and carboplatin."
134144790,Adipocytes,Schwann Cells,NEG_INTERACTS_WITH,0,"No significant colocalization was observed between the immunostaining for glial fibrillary protein and anti-human lamin A/C, implying that the 【APCs】 did not differentiate into 【Schwann cells】 at the site of injury."
130158339,Neurons,"T-Lymphocytes, Cytotoxic",INTERACTS_WITH,0,We hypothesized that protection of latently infected 【neurons】 against 【cytotoxic CD8 T-cell】 killing is due to LAT's antiapoptosis activity.
82564129,T-Lymphocyte,macrophage,INTERACTS_WITH,0,"Further analysis showed that the proliferative response of thymic 【T cells】 was more sensitive to the effects of U50,488H, and the response with both activated and resting 【macrophages】 was suppressed."
173609425,monocyte,CD14+ cell,INTERACTS_WITH,0,"In vitro, when we added losartan to the culture medium, CD14++CD16- 【monocytes】 failed to differentiate into 【CD14+CD16+ cells】."
185825093,Stromal Cells,neutrophil,INTERACTS_WITH,1,【Stromal Cells】 Covering Omental Fat-Associated Lymphoid Clusters Trigger Formation of 【Neutrophil】 Aggregates to Capture Peritoneal Contaminants.The omentum is a visceral adipose tissue rich in fat-associated lymphoid clusters (FALCs) that collects peritoneal contaminants and provides a first layer of immunological defense within the abdomen.
152626583,CD34+ cell,Dendritic Cells,INTERACTS_WITH,0,STUDY DESIGN AND SETTING: Peripheral blood from patients with head and neck cancer was used to measure the frequency of 【CD34+ cells】 and their capacity to differentiate into immune stimulatory 【dendritic cells】.
190573347,Neurons,Osteoclasts,INTERACTS_WITH,0,Accumulating evidence suggest that neurotransmitter-mediated inputs from 【neurons】 may act directly on 【osteoclasts】.
211772879,Monocytes,Endothelial Cells,INTERACTS_WITH,1,"Our results suggest that CTRP4 exhibits anti-inflammatory properties, thereby improving the interaction between 【endothelial cells】 and 【monocytes】 through the SIRT6/Nrf2-dependent pathway."
192838240,Mammalian Cell,Neurons,INTERACTS_WITH,0,"Loss of lipin 1 function in zebrafish and 【mammalian cells】 also exhibited altered expression levels of muscle and 【neuron】 markers, as well as abnormally enhanced Notch signaling, which was partially rescued by the specific Notch pathway inhibitor DAPT."
157666807,"Tumor cells, malignant",thymocyte,NEG_INTERACTS_WITH,0,"To test the generality of the correlations in 【malignant cell】 gene sets, we compared with GC effects on mouse non-transformed 【thymocytes】."
